invoice_no,customer_id,country,order_date,n_line_items,total_quantity,order_value
503668,15770,United Kingdom,2010-04-06,18,67,321.45
503670,15367,United Kingdom,2010-04-06,9,156,128.7
503671,16186,United Kingdom,2010-04-06,13,180,300.2
503672,15367,United Kingdom,2010-04-06,6,43,158.25
503673,15771,United Kingdom,2010-04-06,14,129,321.05
503680,14035,United Kingdom,2010-04-06,29,95,214.33
503683,17281,United Kingdom,2010-04-06,1,35,89.25
503685,13881,United Kingdom,2010-04-06,6,254,478.1
503692,13939,United Kingdom,2010-04-06,11,110,165.38
503693,16782,United Kingdom,2010-04-06,46,77,173.89
503694,13710,United Kingdom,2010-04-06,5,120,228.0
503695,14590,United Kingdom,2010-04-06,9,84,252.3
503697,16654,United Kingdom,2010-04-06,14,130,269.7
503698,15164,United Kingdom,2010-04-06,53,99,234.02
503702,13071,United Kingdom,2010-04-06,12,30,129.22
503703,17841,United Kingdom,2010-04-06,40,154,430.95
503704,16746,United Kingdom,2010-04-06,8,292,502.05
503705,16843,United Kingdom,2010-04-06,12,516,429.96
503706,14990,United Kingdom,2010-04-06,28,66,105.18
503708,14221,United Kingdom,2010-04-06,22,260,445.4
503709,14825,United Kingdom,2010-04-06,31,162,261.1
503710,16266,United Kingdom,2010-04-06,7,83,118.95
503711,12748,United Kingdom,2010-04-06,4,6,47.5
503712,13089,United Kingdom,2010-04-06,44,377,649.91
503713,14265,Unspecified,2010-04-06,14,153,252.52
503714,13432,United Kingdom,2010-04-06,37,73,127.75
503716,14952,United Kingdom,2010-04-06,6,45,263.13
503717,14952,United Kingdom,2010-04-06,9,76,177.9
503718,15867,United Kingdom,2010-04-06,37,234,480.7
503719,15867,United Kingdom,2010-04-06,1,1,7.95
503720,15311,United Kingdom,2010-04-06,7,228,332.37
503723,13093,United Kingdom,2010-04-06,21,573,1076.46
503724,13050,United Kingdom,2010-04-06,23,195,365.5
503725,13207,United Kingdom,2010-04-06,4,36,214.2
503729,13491,United Kingdom,2010-04-07,20,154,307.26
503730,17563,United Kingdom,2010-04-07,27,247,359.83
503731,15252,United Kingdom,2010-04-07,36,461,598.04
503732,13911,United Kingdom,2010-04-07,11,100,166.84
503766,16732,United Kingdom,2010-04-07,35,404,680.04
503772,13632,United Kingdom,2010-04-07,23,175,366.19
503773,16400,United Kingdom,2010-04-07,45,194,368.6
503774,14606,United Kingdom,2010-04-07,77,135,362.39
503775,13727,United Kingdom,2010-04-07,17,80,143.12
503776,16941,United Kingdom,2010-04-07,2,12,33.0
503777,13727,United Kingdom,2010-04-07,29,59,238.5
503778,13769,United Kingdom,2010-04-07,12,134,312.5
503780,14527,United Kingdom,2010-04-07,28,59,330.45
503782,12711,Germany,2010-04-07,31,459,735.75
503783,14156,EIRE,2010-04-07,15,204,1015.48
503784,14680,United Kingdom,2010-04-07,34,588,1187.9
503785,13727,United Kingdom,2010-04-07,1,3,12.75
503786,14590,United Kingdom,2010-04-07,12,97,132.8
503787,14626,United Kingdom,2010-04-07,28,331,450.05
503790,13174,United Kingdom,2010-04-07,115,371,1013.7
503791,15854,United Kingdom,2010-04-07,4,24,142.8
503795,14770,United Kingdom,2010-04-07,27,229,614.63
503796,12931,United Kingdom,2010-04-07,2,80,74.6
503797,14264,United Kingdom,2010-04-07,29,254,482.58
503798,15521,United Kingdom,2010-04-07,25,259,318.09
503800,15827,United Kingdom,2010-04-07,8,70,124.5
503801,15521,United Kingdom,2010-04-07,10,85,407.65
503802,14514,United Kingdom,2010-04-07,24,113,227.65
503804,15061,United Kingdom,2010-04-07,6,286,823.4
503805,15061,United Kingdom,2010-04-07,3,280,1154.4
503806,15061,United Kingdom,2010-04-07,4,238,237.7
503807,15061,United Kingdom,2010-04-07,14,1366,3068.68
503808,15061,United Kingdom,2010-04-07,8,680,785.26
503809,15061,United Kingdom,2010-04-07,17,1525,1117.64
503810,12643,France,2010-04-07,9,1100,2213.2
503811,15112,United Kingdom,2010-04-07,7,72,209.4
503812,17969,United Kingdom,2010-04-07,9,52,135.55
503813,13723,United Kingdom,2010-04-07,16,149,320.23
503814,16656,United Kingdom,2010-04-07,10,1232,1700.16
503815,13019,United Kingdom,2010-04-07,8,33,166.23
503821,15201,United Kingdom,2010-04-07,15,247,293.06
503822,14916,United Kingdom,2010-04-07,1,48,13.92
503824,13593,United Kingdom,2010-04-07,25,133,389.43
503825,15323,United Kingdom,2010-04-07,8,26,132.3
503826,12821,United Kingdom,2010-04-07,7,92,128.08
503827,13640,United Kingdom,2010-04-07,4,108,405.0
503828,12971,United Kingdom,2010-04-07,10,1588,636.6
503829,14667,United Kingdom,2010-04-07,35,316,444.6
503830,16454,United Kingdom,2010-04-07,1,1,1.55
503831,12482,Sweden,2010-04-07,11,1396,1103.8
503832,15738,United Kingdom,2010-04-07,17,238,360.6
503833,12482,Sweden,2010-04-07,11,1180,874.84
503834,12482,Sweden,2010-04-07,11,2360,1749.68
503835,12482,Sweden,2010-04-07,11,1180,874.84
503836,12482,Sweden,2010-04-07,11,1180,874.84
503837,17738,United Kingdom,2010-04-07,16,284,294.52
503838,17738,United Kingdom,2010-04-07,5,62,98.9
503839,17707,United Kingdom,2010-04-07,5,48,88.5
503842,16369,United Kingdom,2010-04-07,11,103,222.25
503844,18064,United Kingdom,2010-04-08,4,62,418.1
503845,17497,United Kingdom,2010-04-08,3,44,204.6
503846,14758,United Kingdom,2010-04-08,22,124,442.5
503847,14798,United Kingdom,2010-04-08,12,144,147.12
503848,13852,United Kingdom,2010-04-08,11,85,187.35
503849,12989,United Kingdom,2010-04-08,6,466,907.1
503850,15640,United Kingdom,2010-04-08,33,727,1231.94
503851,17553,United Kingdom,2010-04-08,1,192,816.0
503852,14145,United Kingdom,2010-04-08,5,328,1383.6
503853,15358,United Kingdom,2010-04-08,21,494,394.66
503854,12765,Netherlands,2010-04-08,12,146,217.5
503855,17426,United Kingdom,2010-04-08,15,117,246.05
503856,17426,United Kingdom,2010-04-08,20,592,453.04
503858,12989,United Kingdom,2010-04-08,1,12,47.4
503859,14855,United Kingdom,2010-04-08,64,882,1623.8
503860,12422,Australia,2010-04-08,10,487,396.2
503861,13107,United Kingdom,2010-04-08,21,605,696.03
503863,15309,United Kingdom,2010-04-08,10,55,167.25
503864,16053,United Kingdom,2010-04-08,44,336,632.66
503867,13712,United Kingdom,2010-04-08,23,776,537.58
503868,14918,United Kingdom,2010-04-08,23,253,855.35
503869,17677,United Kingdom,2010-04-08,34,1044,1239.83
503870,12835,United Kingdom,2010-04-08,15,68,138.29
503875,14813,United Kingdom,2010-04-08,58,132,460.34
503877,15005,United Kingdom,2010-04-08,32,72,206.66
503895,13278,United Kingdom,2010-04-08,25,239,287.19
503901,14450,United Kingdom,2010-04-08,11,118,196.08
503904,14533,United Kingdom,2010-04-08,11,254,475.46
503905,17961,United Kingdom,2010-04-08,5,6,21.6
503907,18251,United Kingdom,2010-04-08,21,4846,4614.18
503921,15613,United Kingdom,2010-04-08,27,700,433.72
503922,17746,United Kingdom,2010-04-08,13,334,404.58
503923,14110,United Kingdom,2010-04-08,7,86,297.94
503924,15298,United Kingdom,2010-04-08,33,348,540.16
503925,15673,United Kingdom,2010-04-08,10,91,314.85
503926,12709,Germany,2010-04-08,33,156,240.57
503927,18194,United Kingdom,2010-04-08,5,240,894.0
503928,12709,Germany,2010-04-08,5,21,26.25
503929,14105,United Kingdom,2010-04-08,58,928,1444.05
503930,17110,United Kingdom,2010-04-08,18,52,197.1
503932,14562,United Kingdom,2010-04-08,15,96,142.34
503933,18065,United Kingdom,2010-04-08,29,231,521.13
503934,13611,United Kingdom,2010-04-08,19,50,141.08
503935,17047,United Kingdom,2010-04-08,29,198,443.28
503936,14160,United Kingdom,2010-04-08,13,626,1183.38
503937,17805,United Kingdom,2010-04-08,1,648,414.72
503938,15638,United Kingdom,2010-04-08,3,96,227.4
503939,14562,United Kingdom,2010-04-08,2,20,33.0
503941,13044,United Kingdom,2010-04-08,23,529,466.47
503942,14299,United Kingdom,2010-04-08,10,258,304.33
503943,14299,United Kingdom,2010-04-08,5,172,153.8
503944,15768,United Kingdom,2010-04-08,27,80,387.43
503945,13668,United Kingdom,2010-04-08,4,80,356.0
503946,16168,United Kingdom,2010-04-08,7,84,123.6
503947,16168,United Kingdom,2010-04-08,2,14,40.5
503948,16168,United Kingdom,2010-04-08,1,6,35.7
503949,14924,United Kingdom,2010-04-08,12,134,310.82
503950,17362,United Kingdom,2010-04-08,25,69,123.87
503951,15062,United Kingdom,2010-04-08,39,351,585.73
503953,13163,United Kingdom,2010-04-08,2,3,17.65
503954,13999,United Kingdom,2010-04-08,16,159,316.41
503955,13694,United Kingdom,2010-04-08,17,1722,3242.22
503956,13443,United Kingdom,2010-04-08,87,212,520.7
503959,13694,United Kingdom,2010-04-08,6,972,992.64
503961,13694,United Kingdom,2010-04-08,3,100,195.0
503962,13694,United Kingdom,2010-04-08,2,88,172.4
503963,16365,United Kingdom,2010-04-08,25,62,232.62
503964,12998,United Kingdom,2010-04-08,22,310,303.9
503965,14548,United Kingdom,2010-04-08,20,151,412.85
503966,14548,United Kingdom,2010-04-08,5,15,33.26
503968,15129,United Kingdom,2010-04-08,15,358,300.7
503969,15311,United Kingdom,2010-04-08,3,154,247.5
503971,13446,United Kingdom,2010-04-08,15,149,303.45
503972,17180,United Kingdom,2010-04-08,45,157,196.55
503973,12987,United Kingdom,2010-04-08,8,55,178.35
503975,17529,United Kingdom,2010-04-08,23,160,381.98
503976,17602,United Kingdom,2010-04-08,48,229,277.85
503977,14702,United Kingdom,2010-04-08,17,33,168.04
503978,13291,United Kingdom,2010-04-08,25,102,245.85
503979,13735,United Kingdom,2010-04-08,40,229,708.76
503980,13762,United Kingdom,2010-04-09,9,600,646.8
503981,13197,United Kingdom,2010-04-09,19,204,373.01
503982,18271,United Kingdom,2010-04-09,12,230,488.3
503984,17949,United Kingdom,2010-04-09,1,300,216.0
503985,12468,Germany,2010-04-09,56,1031,1618.31
503986,16040,United Kingdom,2010-04-09,22,245,374.95
503987,14961,United Kingdom,2010-04-09,37,542,933.8
503988,18246,United Kingdom,2010-04-09,1,48,162.72
503989,17314,United Kingdom,2010-04-09,31,409,534.19
503991,16341,United Kingdom,2010-04-09,36,776,762.28
503994,16944,United Kingdom,2010-04-09,7,27,101.36
503995,13798,United Kingdom,2010-04-09,7,358,716.46
503997,15223,United Kingdom,2010-04-09,6,80,225.6
504000,16013,United Kingdom,2010-04-09,1,30,25.5
504001,16013,United Kingdom,2010-04-09,1,100,255.0
504002,16412,United Kingdom,2010-04-09,14,75,99.49
504020,13552,United Kingdom,2010-04-09,16,258,613.1
504026,12786,Netherlands,2010-04-09,17,320,668.5
504064,17289,United Kingdom,2010-04-09,22,64,162.75
504065,16087,United Kingdom,2010-04-09,1,96,325.44
504082,17841,United Kingdom,2010-04-09,36,108,368.39
504092,13971,United Kingdom,2010-04-09,19,183,319.69
504093,13080,United Kingdom,2010-04-09,4,26,70.3
504094,12681,France,2010-04-09,13,134,300.9
504097,12613,Germany,2010-04-09,23,168,356.62
504098,15331,United Kingdom,2010-04-09,24,245,365.59
504099,12931,United Kingdom,2010-04-09,2,400,322.0
504100,13802,United Kingdom,2010-04-09,52,680,1326.3
504101,16103,United Kingdom,2010-04-09,8,74,271.6
504102,13802,United Kingdom,2010-04-09,1,8,50.8
504116,14441,United Kingdom,2010-04-09,1,6,76.5
504117,15326,United Kingdom,2010-04-09,24,290,298.44
504118,15898,United Kingdom,2010-04-09,32,69,228.93
504119,17609,United Kingdom,2010-04-09,78,333,370.23
504120,15889,United Kingdom,2010-04-09,50,151,269.19
504121,16104,United Kingdom,2010-04-11,22,46,158.28
504122,12916,United Kingdom,2010-04-11,36,345,776.29
504123,17314,United Kingdom,2010-04-11,7,62,168.9
504125,12500,Germany,2010-04-11,8,225,439.55
504126,13854,United Kingdom,2010-04-11,6,229,326.95
504127,13854,United Kingdom,2010-04-11,1,12,30.6
504128,16742,United Kingdom,2010-04-11,11,121,175.38
504130,13520,Switzerland,2010-04-11,24,363,608.8
504131,15015,United Kingdom,2010-04-11,19,98,312.2
504132,17133,United Kingdom,2010-04-11,3,1088,1262.88
504133,15489,United Kingdom,2010-04-11,7,72,199.2
504134,17734,United Kingdom,2010-04-11,8,54,111.9
504135,16276,United Kingdom,2010-04-11,12,648,1057.36
504136,13799,United Kingdom,2010-04-11,5,153,384.27
504137,17920,United Kingdom,2010-04-11,28,557,1149.58
504138,14275,United Kingdom,2010-04-11,5,80,177.6
504139,17769,United Kingdom,2010-04-11,84,335,707.78
504140,16814,United Kingdom,2010-04-11,78,296,856.23
504141,16466,United Kingdom,2010-04-11,27,168,320.25
504142,13259,United Kingdom,2010-04-11,43,65,174.23
504143,17113,United Kingdom,2010-04-11,10,92,171.58
504144,17372,United Kingdom,2010-04-11,18,47,116.65
504145,13786,United Kingdom,2010-04-11,46,308,549.51
504146,12481,Germany,2010-04-11,50,2108,2969.6
504147,17675,United Kingdom,2010-04-11,14,334,684.96
504148,13180,United Kingdom,2010-04-11,4,42,86.1
504149,17608,United Kingdom,2010-04-11,48,156,164.92
504150,16700,United Kingdom,2010-04-11,35,382,612.81
504151,14011,United Kingdom,2010-04-11,22,456,292.34
504152,17838,United Kingdom,2010-04-11,15,142,335.0
504153,17068,United Kingdom,2010-04-11,23,49,114.53
504154,15443,United Kingdom,2010-04-11,45,240,458.79
504155,17858,United Kingdom,2010-04-11,19,211,525.12
504156,16372,United Kingdom,2010-04-11,20,56,113.45
504157,17221,United Kingdom,2010-04-11,42,254,351.96
504158,13001,United Kingdom,2010-04-11,26,221,487.67
504159,17221,United Kingdom,2010-04-11,15,79,50.13
504160,15555,United Kingdom,2010-04-11,65,304,347.28
504161,15067,United Kingdom,2010-04-11,38,516,764.64
504162,12935,United Kingdom,2010-04-11,30,349,478.66
504163,14430,United Kingdom,2010-04-11,22,274,635.5
504164,14404,United Kingdom,2010-04-11,7,65,114.89
504165,16754,United Kingdom,2010-04-12,4,501,1844.19
504166,16029,United Kingdom,2010-04-12,8,948,2318.4
504176,13443,United Kingdom,2010-04-12,1,47,9.87
504183,13418,United Kingdom,2010-04-12,18,370,465.18
504184,15524,United Kingdom,2010-04-12,8,24,151.4
504188,16454,United Kingdom,2010-04-12,1,5,22.5
504189,17147,United Kingdom,2010-04-12,4,21,107.79
504192,15590,United Kingdom,2010-04-12,22,194,381.0
504195,16126,United Kingdom,2010-04-12,19,182,359.9
504196,14791,United Kingdom,2010-04-12,19,127,303.63
504200,14114,United Kingdom,2010-04-12,20,183,313.75
504203,13408,United Kingdom,2010-04-12,5,544,739.2
504204,14930,Channel Islands,2010-04-12,51,367,926.82
504206,17469,United Kingdom,2010-04-12,20,145,337.17
504210,17469,United Kingdom,2010-04-12,1,12,15.0
504212,17865,United Kingdom,2010-04-12,22,258,455.8
504213,15546,United Kingdom,2010-04-12,6,99,539.55
504214,15546,United Kingdom,2010-04-12,6,99,539.55
504216,15504,United Kingdom,2010-04-12,17,51,150.22
504217,14844,United Kingdom,2010-04-12,58,759,1160.66
504232,15044,United Kingdom,2010-04-12,36,218,885.68
504234,18102,United Kingdom,2010-04-12,15,576,1704.72
504244,13225,United Kingdom,2010-04-12,20,728,1770.44
504257,12982,United Kingdom,2010-04-12,49,491,701.97
504266,16353,United Kingdom,2010-04-12,19,283,503.85
504318,15466,United Kingdom,2010-04-12,40,75,166.05
504320,14905,United Kingdom,2010-04-12,12,146,302.3
504321,15311,United Kingdom,2010-04-12,12,85,155.75
504323,15917,United Kingdom,2010-04-12,21,25,122.2
504326,13564,United Kingdom,2010-04-12,20,177,408.7
504327,16595,United Kingdom,2010-04-12,71,192,222.17
504328,16987,United Kingdom,2010-04-12,49,104,333.24
504329,17268,United Kingdom,2010-04-12,2,56,92.4
504331,15523,United Kingdom,2010-04-12,1,14,119.0
504332,12671,Germany,2010-04-12,45,1460,2622.48
504333,13473,United Kingdom,2010-04-12,2,48,305.18
504335,13473,United Kingdom,2010-04-12,1,38,74.1
504336,16705,United Kingdom,2010-04-12,27,924,2139.4
504337,16705,United Kingdom,2010-04-12,12,442,468.06
504338,16705,United Kingdom,2010-04-12,13,386,755.82
504339,16705,United Kingdom,2010-04-12,1,6,38.7
504340,13564,United Kingdom,2010-04-12,50,684,400.34
504341,17048,United Kingdom,2010-04-12,20,116,226.7
504344,14853,United Kingdom,2010-04-13,14,155,420.47
504351,13777,United Kingdom,2010-04-13,1,72,334.8
504352,17268,United Kingdom,2010-04-13,2,56,70.0
504355,13443,United Kingdom,2010-04-13,1,5,4.25
504356,12835,United Kingdom,2010-04-13,8,29,89.12
504372,12943,United Kingdom,2010-04-13,20,155,315.85
504373,13468,United Kingdom,2010-04-13,20,162,339.7
504375,15268,United Kingdom,2010-04-13,19,250,547.6
504376,17460,United Kingdom,2010-04-13,16,63,153.96
504386,14057,United Kingdom,2010-04-13,60,464,662.88
504394,14040,United Kingdom,2010-04-13,41,113,315.05
504404,14040,United Kingdom,2010-04-13,1,1,6.75
504406,17841,United Kingdom,2010-04-13,32,191,228.05
504407,14527,United Kingdom,2010-04-13,25,67,265.78
504408,15039,United Kingdom,2010-04-13,13,181,335.53
504409,13089,United Kingdom,2010-04-13,59,978,1788.7
504410,13089,United Kingdom,2010-04-13,3,76,216.0
504411,13089,United Kingdom,2010-04-13,3,144,41.76
504412,16940,United Kingdom,2010-04-13,72,529,747.09
504413,13089,United Kingdom,2010-04-13,16,296,260.52
504414,12805,Netherlands,2010-04-13,11,98,181.7
504416,13590,United Kingdom,2010-04-13,7,64,159.0
504418,15965,United Kingdom,2010-04-13,27,82,304.6
504421,15639,United Kingdom,2010-04-13,24,285,394.24
504426,16779,United Kingdom,2010-04-13,23,380,695.96
504427,14030,United Kingdom,2010-04-13,105,357,823.39
504430,14172,United Kingdom,2010-04-13,25,60,260.52
504432,18144,United Kingdom,2010-04-13,4,78,239.06
504433,15013,United Kingdom,2010-04-13,14,90,120.51
504434,15311,United Kingdom,2010-04-13,4,108,173.4
504435,14606,United Kingdom,2010-04-13,55,113,215.34
504436,14156,EIRE,2010-04-13,39,6216,9325.28
504437,12957,United Kingdom,2010-04-13,31,222,720.34
504438,14156,EIRE,2010-04-13,2,120,150.0
504439,17757,United Kingdom,2010-04-13,24,58,134.35
504440,13052,United Kingdom,2010-04-13,50,257,591.13
504441,13039,United Kingdom,2010-04-13,9,52,174.4
504444,14898,United Kingdom,2010-04-13,24,96,182.42
504447,15889,United Kingdom,2010-04-13,4,13,33.85
504449,12459,Spain,2010-04-13,22,256,398.36
504450,14723,United Kingdom,2010-04-13,23,98,136.53
504451,16709,United Kingdom,2010-04-13,28,294,1033.5
504452,15260,United Kingdom,2010-04-13,13,123,291.33
504454,16809,United Kingdom,2010-04-13,51,144,261.41
504458,15982,United Kingdom,2010-04-13,45,131,324.51
504459,14998,United Kingdom,2010-04-13,14,14,113.49
504462,17505,United Kingdom,2010-04-13,28,561,924.17
504466,16259,United Kingdom,2010-04-13,33,52,134.77
504467,16259,United Kingdom,2010-04-13,4,11,25.05
504469,15890,United Kingdom,2010-04-14,3,88,263.2
504470,15513,United Kingdom,2010-04-14,2,48,235.2
504471,15513,United Kingdom,2010-04-14,7,56,221.9
504472,15497,United Kingdom,2010-04-14,2,40,236.4
504473,17594,United Kingdom,2010-04-14,26,320,611.7
504474,15615,United Kingdom,2010-04-14,9,65,147.85
504475,13266,United Kingdom,2010-04-14,22,232,342.58
504477,12437,France,2010-04-14,19,178,311.42
504478,12682,France,2010-04-14,32,298,791.64
504479,13199,United Kingdom,2010-04-14,4,49,77.55
504480,13199,United Kingdom,2010-04-14,3,228,275.64
504481,14624,United Kingdom,2010-04-14,15,260,250.53
504486,18087,United Kingdom,2010-04-14,4,72,313.92
504487,15046,United Kingdom,2010-04-14,18,39,128.21
504498,17511,United Kingdom,2010-04-14,70,4320,6631.27
504508,15265,United Kingdom,2010-04-14,94,812,1545.38
504519,15563,United Kingdom,2010-04-14,51,456,524.98
504532,12471,Germany,2010-04-14,29,367,623.13
504533,12471,Germany,2010-04-14,6,88,101.76
504535,15061,United Kingdom,2010-04-14,1,144,152.64
504536,13097,United Kingdom,2010-04-14,57,265,596.06
504542,13694,United Kingdom,2010-04-14,15,2400,2113.68
504546,17961,United Kingdom,2010-04-14,1,7,13.65
504547,17682,United Kingdom,2010-04-14,18,122,217.2
504548,14210,United Kingdom,2010-04-14,20,166,364.68
504550,17039,United Kingdom,2010-04-14,44,689,1954.99
504551,13629,United Kingdom,2010-04-14,4,400,660.0
504552,16105,United Kingdom,2010-04-14,31,423,595.55
504553,16292,United Kingdom,2010-04-14,17,226,312.26
504554,16442,United Kingdom,2010-04-14,38,76,127.62
504555,13561,United Kingdom,2010-04-14,35,120,217.13
504556,13878,United Kingdom,2010-04-14,41,293,627.18
504558,14344,United Kingdom,2010-04-14,40,125,296.35
504559,15771,United Kingdom,2010-04-14,4,276,369.24
504560,17961,United Kingdom,2010-04-14,1,2,17.0
504569,17146,United Kingdom,2010-04-14,27,123,582.19
504571,15572,United Kingdom,2010-04-14,35,252,359.11
504572,18057,United Kingdom,2010-04-14,91,370,684.32
504574,14016,EIRE,2010-04-14,53,628,1167.88
504575,15222,United Kingdom,2010-04-14,17,444,307.1
504576,15144,United Kingdom,2010-04-14,12,104,560.8
504577,14867,United Kingdom,2010-04-14,21,196,532.46
504578,16422,United Kingdom,2010-04-14,6,482,521.46
504580,17519,United Kingdom,2010-04-15,12,129,322.35
504581,16631,United Kingdom,2010-04-15,8,70,122.58
504582,15812,United Kingdom,2010-04-15,9,179,447.45
504583,17888,United Kingdom,2010-04-15,1,12,15.0
504584,17888,United Kingdom,2010-04-15,4,30,124.62
504585,12540,Spain,2010-04-15,7,230,323.62
504586,18190,United Kingdom,2010-04-15,7,76,192.84
504587,14134,United Kingdom,2010-04-15,30,894,1563.06
504588,13388,United Kingdom,2010-04-15,34,419,508.55
504589,15194,United Kingdom,2010-04-15,20,192,399.6
504591,13394,United Kingdom,2010-04-15,23,255,357.09
504592,13433,United Kingdom,2010-04-15,10,82,315.54
504593,13901,United Kingdom,2010-04-15,33,463,540.57
504594,15910,United Kingdom,2010-04-15,58,123,276.54
504618,13659,United Kingdom,2010-04-15,22,248,427.19
504619,13659,United Kingdom,2010-04-15,2,72,43.92
504620,14947,United Kingdom,2010-04-15,10,100,149.0
504621,14944,United Kingdom,2010-04-15,20,188,385.3
504622,14569,United Kingdom,2010-04-15,14,93,183.45
504623,14656,United Kingdom,2010-04-15,37,59,144.45
504624,18061,United Kingdom,2010-04-15,6,208,471.02
504625,18174,United Kingdom,2010-04-15,1,30,58.5
504626,15874,United Kingdom,2010-04-15,26,218,523.08
504627,18008,United Kingdom,2010-04-15,3,27,84.69
504628,18008,United Kingdom,2010-04-15,2,3,5.75
504630,12935,United Kingdom,2010-04-15,1,12,19.8
504631,13647,United Kingdom,2010-04-15,18,206,315.5
504633,15311,United Kingdom,2010-04-15,9,37,167.15
504634,18236,United Kingdom,2010-04-15,13,100,236.64
504635,15615,United Kingdom,2010-04-15,50,529,746.33
504636,17678,United Kingdom,2010-04-15,12,161,301.65
504638,18245,United Kingdom,2010-04-15,39,345,560.23
504640,17032,United Kingdom,2010-04-15,48,355,638.52
504643,18151,United Kingdom,2010-04-15,27,183,425.89
504644,14068,United Kingdom,2010-04-15,29,200,526.14
504645,15814,United Kingdom,2010-04-15,9,172,294.08
504646,15032,United Kingdom,2010-04-15,10,329,618.55
504647,17961,United Kingdom,2010-04-15,1,12,25.2
504649,17709,United Kingdom,2010-04-15,15,105,251.47
504655,13661,United Kingdom,2010-04-15,17,118,325.24
504668,13013,United Kingdom,2010-04-15,14,183,495.85
504669,16174,United Kingdom,2010-04-15,10,140,203.8
504673,13287,United Kingdom,2010-04-15,20,162,294.68
504675,15722,United Kingdom,2010-04-15,16,162,436.76
504677,15898,United Kingdom,2010-04-15,13,42,84.9
504680,16840,United Kingdom,2010-04-15,2,16,32.1
504682,14099,United Kingdom,2010-04-15,26,77,218.23
504683,16986,United Kingdom,2010-04-15,4,35,109.5
504691,16325,United Kingdom,2010-04-15,16,170,389.36
504692,13015,United Kingdom,2010-04-15,44,721,735.64
504694,13414,United Kingdom,2010-04-15,11,262,219.86
504695,17799,United Kingdom,2010-04-15,47,143,356.93
504696,17799,United Kingdom,2010-04-15,1,2,15.9
504697,12474,Germany,2010-04-15,18,213,248.59
504698,13591,United Kingdom,2010-04-15,22,156,495.26
504699,13092,United Kingdom,2010-04-15,15,76,254.4
504701,16722,United Kingdom,2010-04-15,22,384,324.4
504703,13450,United Kingdom,2010-04-15,9,324,239.64
504704,15031,United Kingdom,2010-04-15,44,125,247.91
504705,13542,United Kingdom,2010-04-15,18,49,266.3
504707,13734,United Kingdom,2010-04-16,1,8,279.6
504708,18262,United Kingdom,2010-04-16,14,254,202.06
504709,12437,France,2010-04-16,5,216,114.48
504711,12778,Netherlands,2010-04-16,26,364,348.6
504712,17876,United Kingdom,2010-04-16,1,498,841.62
504714,12395,Belgium,2010-04-16,51,728,1035.44
504715,17404,Sweden,2010-04-16,21,4696,3720.24
504716,17920,United Kingdom,2010-04-16,22,339,651.91
504717,16098,United Kingdom,2010-04-16,18,268,400.48
504718,12969,United Kingdom,2010-04-16,5,55,122.45
504730,14680,United Kingdom,2010-04-16,25,514,1031.3
504741,15716,United Kingdom,2010-04-16,29,86,191.67
504742,15979,United Kingdom,2010-04-16,22,450,329.22
504766,13013,United Kingdom,2010-04-16,62,847,1336.03
504775,15249,United Kingdom,2010-04-16,20,166,341.78
504789,13813,Germany,2010-04-16,20,161,323.61
504807,17626,United Kingdom,2010-04-16,18,202,254.0
504808,17841,United Kingdom,2010-04-16,33,108,185.6
504810,15628,United Kingdom,2010-04-16,18,241,311.76
504825,14527,United Kingdom,2010-04-16,13,27,136.85
504826,12875,United Kingdom,2010-04-16,2,1152,354.24
504827,16158,United Kingdom,2010-04-16,3,9,43.45
504828,16158,United Kingdom,2010-04-16,1,14,59.5
504829,16125,United Kingdom,2010-04-16,17,116,332.0
504830,14988,United Kingdom,2010-04-16,45,248,382.64
504831,17913,United Kingdom,2010-04-16,69,363,566.2
504832,14110,United Kingdom,2010-04-16,7,216,363.12
504833,14907,United Kingdom,2010-04-16,18,110,294.72
504834,16094,United Kingdom,2010-04-16,21,206,334.3
504835,17842,United Kingdom,2010-04-16,18,89,430.69
504836,14258,United Kingdom,2010-04-16,6,396,752.28
504837,13426,United Kingdom,2010-04-16,18,234,396.24
504838,15078,United Kingdom,2010-04-16,26,266,595.54
504842,15259,United Kingdom,2010-04-16,26,299,432.35
504844,12748,United Kingdom,2010-04-16,6,6,17.55
504846,15061,United Kingdom,2010-04-16,4,270,902.16
504847,17931,United Kingdom,2010-04-16,40,432,577.26
504848,14623,United Kingdom,2010-04-16,69,144,263.28
504850,14134,United Kingdom,2010-04-18,3,120,127.2
504851,15482,United Kingdom,2010-04-18,8,360,1354.4
504852,17243,United Kingdom,2010-04-18,18,53,202.17
504853,15796,United Kingdom,2010-04-18,32,163,488.18
504854,16923,United Kingdom,2010-04-18,41,250,486.3
504855,15569,United Kingdom,2010-04-18,22,358,520.83
504856,16883,United Kingdom,2010-04-18,16,49,90.01
504857,17113,United Kingdom,2010-04-18,71,267,938.63
504858,18172,United Kingdom,2010-04-18,18,182,347.9
504859,18064,United Kingdom,2010-04-18,4,171,354.33
504860,12402,Belgium,2010-04-18,16,167,298.65
504861,14702,United Kingdom,2010-04-18,28,172,382.68
504862,17850,United Kingdom,2010-04-18,21,154,350.4
504863,13240,United Kingdom,2010-04-18,13,42,114.17
504864,13262,United Kingdom,2010-04-18,26,93,232.41
504865,17346,United Kingdom,2010-04-18,13,122,174.61
